id,coleccion,nivel,estado,producto,categoria,servicio,tacticas,fp_declarado,fp_sustantivo
7c797da2-9cf2-4523-ba64-33b06339f0cc,rules,low,test,aws,,cloudtrail,impact,1,1
f305fd62-beca-47da-ad95-7690a0620084,rules,low,test,aws,,cloudtrail,discovery,1,1
6e61ee20-ce00-4f8d-8aee-bedd8216f7e3,rules,high,test,aws,,cloudtrail,defense-impairment,1,1
0a5177f4-6ca9-44c2-aacf-d3f3d8b6e4d2,rules,medium,test,aws,,cloudtrail,persistence|privilege-escalation,1,1
db014773-b1d3-46bd-ba26-133337c0ffee,rules,high,test,aws,,cloudtrail,execution|initial-access|persistence|privilege-escalation|stealth,1,1
db014773-7375-4f4e-b83b-133337c0ffee,rules,high,test,aws,,cloudtrail,execution|initial-access|persistence|privilege-escalation|stealth,1,1
db014773-d9d9-4792-91e5-133337c0ffee,rules,high,test,aws,,cloudtrail,execution|initial-access|persistence|privilege-escalation|stealth,1,1
1279262f-1464-422f-ac0d-5b545320c526,rules,high,experimental,aws,,cloudtrail,impact|resource-development,1,1
ec541962-c05a-4420-b9ea-84de072d18f4,rules,medium,experimental,aws,,cloudtrail,initial-access|privilege-escalation,1,1
97fbabf8-8e1b-47a2-b7d5-a418d2b95e3d,rules,low,test,aws,,cloudtrail,privilege-escalation,1,1
4990c2e3-f4b8-45e3-bc3c-30b14ff0ed26,rules,low,test,aws,,cloudtrail,privilege-escalation,1,1
8a63cdd4-6207-414a-85bc-7e032bd3c1a2,rules,medium,test,aws,,cloudtrail,exfiltration,1,1
457cc9ac-d8e6-4d1d-8c0e-251d0f11a74c,rules,high,experimental,aws,,cloudtrail,exfiltration,1,1
c3f265c7-ff03-4056-8ab2-d486227b4599,rules,high,test,aws,,cloudtrail,exfiltration,1,0
8ad1600d-e9dc-4251-b0ee-a65268f29add,rules,medium,test,aws,,cloudtrail,initial-access|persistence|privilege-escalation|stealth,1,1
3940b5f1-3f46-44aa-b746-ebe615b879e0,rules,low,test,aws,,cloudtrail,credential-access|persistence|privilege-escalation,1,1
b056de1a-6e6e-4e40-a67e-97c9808cf41b,rules,low,test,aws,,cloudtrail,credential-access|persistence|privilege-escalation,1,1
78b3756a-7804-4ef7-8555-7b9024a02e2d,rules,low,test,aws,,cloudtrail,exfiltration,1,1
a607e1fe-74bf-4440-a3ec-b059b9103157,rules,high,stable,aws,,cloudtrail,defense-impairment,1,1
abae8fec-57bd-4f87-aff6-6e3db989843d,rules,medium,test,aws,,cloudtrail,exfiltration,1,1
d3adb3ef-b7e7-4003-9092-1924c797db35,rules,high,test,aws,,cloudtrail,credential-access|defense-impairment|persistence,1,1
905d389b-b853-46d0-9d3d-dea0d3a3cd49,rules,low,test,aws,,cloudtrail,lateral-movement|privilege-escalation,1,1
9b1b8e9b-0a5d-4af1-9d2f-4c4b6e7c2c9d,rules,medium,experimental,aws,,cloudtrail,discovery,1,1
b45ab1d2-712f-4f01-a751-df3826969807,rules,low,test,aws,,cloudtrail,lateral-movement|privilege-escalation,1,1
f43f5d2f-3f2a-4cc8-b1af-81fde7dbaf0e,rules,medium,test,aws,,cloudtrail,initial-access|lateral-movement|persistence|privilege-escalation|stealth,1,1
055fb148-60f8-462d-ad16-26926ce050f1,rules,high,test,aws,,cloudtrail,persistence|privilege-escalation,1,1
288a39fc-4914-4831-9ada-270e9dc12cb4,rules,medium,test,azure,,activitylogs,defense-impairment,1,1
48739819-8230-4ee3-a8ea-e0289d1fb0ff,rules,medium,test,azure,,activitylogs,defense-impairment,1,1
ad87d14e-7599-4633-ba81-aeb60cfe8cd6,rules,medium,test,azure,,activitylogs,impact,1,1
835747f1-9329-40b5-9cc3-97d465754ce6,rules,medium,test,azure,,activitylogs,impact,1,1
93e0ef48-37c8-49ed-a02c-038aab23628e,rules,low,test,azure,,activitylogs,impact,1,1
d2d901db-7a75-45a1-bc39-0cbf00812192,rules,medium,test,azure,,activitylogs,persistence|privilege-escalation,1,0
46530378-f9db-4af9-a9e5-889c177d3881,rules,medium,test,azure,,activitylogs,impact,1,1
af6925b0-8826-47f1-9324-337507a0babd,rules,medium,test,azure,,activitylogs,impact,1,1
512cf937-ea9b-4332-939c-4c2c94baadcd,rules,medium,test,azure,,activitylogs,defense-impairment|impact,1,1
025c9fe7-db72-49f9-af0d-31341dd7dd57,rules,medium,test,azure,,activitylogs,defense-impairment|impact,1,1
a622fcd2-4b5a-436a-b8a2-a4171161833c,rules,medium,test,azure,,activitylogs,persistence|privilege-escalation,1,0
80eeab92-0979-4152-942d-96749e11df40,rules,medium,test,azure,,activitylogs,credential-access|impact,1,1
459a2970-bb84-4e6a-a32e-ff0fbd99448d,rules,medium,test,azure,,activitylogs,credential-access|impact,1,1
b831353c-1971-477b-abb6-2828edc3bca1,rules,medium,test,azure,,activitylogs,credential-access|impact,1,1
a61a3c56-4ce2-4351-a079-88ae4cbd2b58,rules,medium,test,azure,,activitylogs,credential-access|initial-access|persistence|privilege-escalation|stealth,1,1
9541f321-7cba-4b43-80fc-fbd1fb922808,rules,low,test,azure,,activitylogs,impact,1,1
1c71e254-6655-42c1-b2d6-5e4718d7fc0a,rules,medium,test,azure,,activitylogs,execution|persistence|privilege-escalation,1,1
225d8b09-e714-479c-a0e4-55e6f29adf35,rules,medium,test,azure,,activitylogs,defense-impairment,1,1
08d6ac24-c927-4469-b3b7-2e422d6e3c43,rules,medium,test,azure,,activitylogs,credential-access|impact,1,1
b02f9591-12c3-4965-986a-88028629b2e1,rules,medium,test,azure,,activitylogs,impact,1,1
818fee0c-e0ec-4e45-824e-83e4817b0887,rules,medium,test,azure,,activitylogs,impact,1,1
25cb259b-bbdc-4b87-98b7-90d7c72f8743,rules,medium,test,azure,,activitylogs,credential-access|impact,1,1
7ee0b4aa-d8d4-4088-b661-20efdf41a04c,rules,medium,test,azure,,activitylogs,impact,1,1
12d027c3-b48c-4d9d-8bb6-a732200034b2,rules,medium,test,azure,,activitylogs,impact,1,1
83c17918-746e-4bd9-920b-8e098bf88c23,rules,medium,test,azure,,activitylogs,defense-impairment|impact,1,1
2a7d64cf-81fa-4daf-ab1b-ab80b789c067,rules,medium,test,azure,,activitylogs,impact,1,1
d9557b75-267b-4b43-922f-a775e2d1f792,rules,medium,test,azure,,activitylogs,impact,1,1
d22b4df4-5a67-4859-a578-8c9a0b5af9df,rules,medium,test,azure,,activitylogs,impact,1,1
15ef3fac-f0f0-4dc4-ada0-660aa72980b3,rules,medium,test,azure,,activitylogs,impact,1,1
72af37e2-ec32-47dc-992b-bc288a2708cb,rules,medium,test,azure,,activitylogs,execution,1,1
c1182e02-49a3-481c-b3de-0fadc4091488,rules,medium,test,azure,,activitylogs,credential-access,1,0
09438caa-07b1-4870-8405-1dbafe3dad95,rules,high,test,azure,,activitylogs,initial-access|persistence|privilege-escalation|stealth,1,1
92cc3e5d-eb57-419d-8c16-5c63f325a401,rules,medium,test,azure,,activitylogs,impact,1,1
bcfcc962-0e4a-4fd9-84bb-a833e672df3f,rules,medium,test,azure,,activitylogs,impact,1,1
61171ffc-d79c-4ae5-8e10-9323dba19cd3,rules,medium,test,azure,,activitylogs,impact,1,1
26e7c5e2-6545-481e-b7e6-050143459635,rules,medium,test,azure,,auditlogs,credential-access|defense-impairment|persistence|privilege-escalation,1,1
50a3c7aa-ec29-44a4-92c1-fce229eef6fc,rules,medium,test,azure,,auditlogs,credential-access|defense-impairment|persistence|privilege-escalation,1,1
0922467f-db53-4348-b7bf-dee8d0d348c6,rules,medium,test,azure,,auditlogs,privilege-escalation,1,1
6f583da0-3a90-4566-a4ed-83c09fe18bbf,rules,high,test,azure,,auditlogs,initial-access|persistence|privilege-escalation|stealth,1,1
a0413867-daf3-43dd-9245-734b3a787942,rules,medium,test,azure,,auditlogs,initial-access|persistence|privilege-escalation|stealth,1,0
c2496b41-16a9-4016-a776-b23f8910dc58,rules,medium,test,azure,,auditlogs,credential-access|defense-impairment|persistence|privilege-escalation,1,0
9494bff8-959f-4440-bbce-fb87a208d517,rules,high,test,azure,,auditlogs,defense-impairment|privilege-escalation,1,0
4bb80281-3756-4ec8-a88e-523c5a6fda9e,rules,medium,test,azure,,auditlogs,credential-access|defense-impairment|persistence|privilege-escalation,1,0
ebbeb024-5b1d-4e16-9c0c-917f86c708a7,rules,medium,test,azure,,auditlogs,initial-access|persistence|privilege-escalation|stealth,1,1
11c767ae-500b-423b-bae3-b234450736ed,rules,high,test,azure,,auditlogs,initial-access|persistence|privilege-escalation|stealth,1,0
1b45b0d1-773f-4f23-aedc-814b759563b1,rules,high,test,azure,,auditlogs,credential-access|initial-access|persistence|privilege-escalation|stealth,1,1
cbb67ecc-fb70-4467-9350-c910bdf7c628,rules,high,test,azure,,auditlogs,persistence|privilege-escalation,1,1
a6355fbe-f36f-45d8-8efc-ab42465cbc52,rules,high,test,azure,,auditlogs,credential-access,1,1
9b2cc4c4-2ad4-416d-8e8e-ee6aa6f5035a,rules,low,test,azure,,auditlogs,credential-access,1,0
7091372f-623c-4293-bc37-20c32b3492be,rules,medium,test,azure,,auditlogs,credential-access,1,0
74298991-9fc4-460e-a92e-511aa60baec1,rules,medium,test,azure,,auditlogs,credential-access,1,1
c1d147ae-a951-48e5-8b41-dcd0170c7213,rules,high,test,azure,,auditlogs,credential-access,1,1
5aecf3d5-f8a0-48e7-99be-3a759df7358f,rules,high,test,azure,,auditlogs,persistence|privilege-escalation,1,1
b04934b2-0a68-4845-8a19-bdfed3a68a7a,rules,medium,test,azure,,auditlogs,persistence|privilege-escalation,1,1
0055ad1f-be85-4798-83cf-a6da17c993b3,rules,high,test,azure,,auditlogs,credential-access|initial-access|persistence|privilege-escalation|stealth,1,1
410d2a41-1e6d-452f-85e5-abdd8257a823,rules,medium,test,azure,,auditlogs,impact,1,1
a4b25073-8947-489c-a8dd-93b41c23f26d,rules,high,test,azure,,auditlogs,persistence|privilege-escalation,1,1
4d78a000-ab52-4564-88a5-7ab5242b20c7,rules,medium,test,azure,,auditlogs,credential-access|defense-impairment|persistence|privilege-escalation,1,0
542b9912-c01f-4e3f-89a8-014c48cdca7d,rules,medium,test,azure,,auditlogs,impact,1,1
352a54e1-74ba-4929-9d47-8193d67aba1e,rules,medium,test,azure,,auditlogs,initial-access|persistence|privilege-escalation|stealth,1,1
91c95675-1f27-46d0-bead-d1ae96b97cd3,rules,medium,test,azure,,auditlogs,credential-access|defense-impairment|persistence|privilege-escalation,1,1
665e2d43-70dc-4ccc-9d27-026c9dd7ed9c,rules,medium,test,azure,,auditlogs,credential-access|defense-impairment|persistence|privilege-escalation,1,1
0b4b72e3-4c53-4d5b-b198-2c58cfef39a9,rules,medium,test,azure,,auditlogs,initial-access|persistence|privilege-escalation|stealth,1,1
8dee7a0d-43fd-4b3c-8cd1-605e189d195e,rules,medium,test,azure,,auditlogs,initial-access|persistence|privilege-escalation|stealth,1,1
7ea78478-a4f9-42a6-9dcd-f861816122bf,rules,medium,test,azure,,auditlogs,credential-access|defense-impairment|persistence,1,1
636e30d5-3736-42ea-96b1-e6e2f8429fd6,rules,medium,test,azure,,auditlogs,stealth,1,1
039a7469-0296-4450-84c0-f6966b16dc6d,rules,high,test,azure,,auditlogs,initial-access|persistence|privilege-escalation|stealth,1,1
aeaef14c-e5bf-4690-a9c8-835caad458bd,rules,high,test,azure,,auditlogs,initial-access|persistence|privilege-escalation|stealth,1,1
db6c06c4-bf3b-421c-aa88-15672b88c743,rules,high,test,azure,,auditlogs,initial-access|persistence|privilege-escalation|stealth,1,1
49a268a4-72f4-4e38-8a7b-885be690c5b5,rules,high,test,azure,,auditlogs,initial-access|persistence|privilege-escalation|stealth,1,1
102e11e3-2db5-4c9e-bc26-357d42585d21,rules,high,test,azure,,auditlogs,persistence|privilege-escalation,1,1
f7b5b004-dece-46e4-a4a5-f6fd0e1c6947,rules,medium,test,azure,,auditlogs,initial-access|persistence|privilege-escalation|stealth,1,1
0ddcff6d-d262-40b0-804b-80eb592de8e3,rules,medium,test,azure,,auditlogs,stealth,1,1
