codigo,categoria,bloque,materia,codigo_id,fecha_actualizacion,url_codigo,pdf_url,epub_url,marca_tiempo
Formas de Participación Directa,Derecho Constitucional,constitucional,constitucional,410_Formas_de_Participacion_Directa,20/05/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=410_Formas_de_Participacion_Directa&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=410_Formas_de_Participacion_Directa.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=410_Formas_de_Participacion_Directa.epub,2026-09-11T05:30:01Z
Protección de Datos de Carácter Personal,Derecho Constitucional,constitucional,privacidad,055_Proteccion_de_Datos_de_Caracter_Personal,24/03/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=055_Proteccion_de_Datos_de_Caracter_Personal&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=055_Proteccion_de_Datos_de_Caracter_Personal.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=055_Proteccion_de_Datos_de_Caracter_Personal.epub,2026-09-11T05:30:01Z
Código del Derecho al Olvido,Derecho Constitucional,constitucional,privacidad,094_Codigo_del_Derecho_al_Olvido,03/03/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=094_Codigo_del_Derecho_al_Olvido&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=094_Codigo_del_Derecho_al_Olvido.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=094_Codigo_del_Derecho_al_Olvido.epub,2026-09-11T05:30:01Z
Código de Asociaciones,Derecho Constitucional,constitucional,constitucional,154_Codigo_de_Asociaciones,22/07/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=154_Codigo_de_Asociaciones&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=154_Codigo_de_Asociaciones.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=154_Codigo_de_Asociaciones.epub,2026-09-11T05:30:01Z
Código de Derecho Electoral,Derecho Constitucional,constitucional,constitucional,101_Codigo_de_Derecho_Electoral,03/09/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=101_Codigo_de_Derecho_Electoral&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=101_Codigo_de_Derecho_Electoral.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=101_Codigo_de_Derecho_Electoral.epub,2026-09-11T05:30:01Z
Legislación de Menores,Derecho Constitucional,constitucional,constitucional,286_Legislacion_de_Menores,28/08/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=286_Legislacion_de_Menores&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=286_Legislacion_de_Menores.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=286_Legislacion_de_Menores.epub,2026-09-11T05:30:01Z
Código de Derecho Público de la Juventud,Derecho Constitucional,constitucional,constitucional,324_Codigo_de_Derecho_Publico_de_la_Juventud,14/08/2025,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=324_Codigo_de_Derecho_Publico_de_la_Juventud&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=324_Codigo_de_Derecho_Publico_de_la_Juventud.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=324_Codigo_de_Derecho_Publico_de_la_Juventud.epub,2026-09-11T05:30:01Z
Código del Derecho de la Discapacidad. Legislación Estatal,Derecho de la Discapacidad,social-sanidad,social-sanidad,125_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_Estatal,02/09/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=125_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_Estatal&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=125_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_Estatal.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=125_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_Estatal.epub,2026-09-11T05:30:01Z
Código del Derecho de la Discapacidad. Legislación del País Vasco,Derecho de la Discapacidad,social-sanidad,social-sanidad,459_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_del_Pais_Vasco,29/06/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=459_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_del_Pais_Vasco&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=459_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_del_Pais_Vasco.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=459_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_del_Pais_Vasco.epub,2026-09-11T05:30:01Z
Código del Derecho de la Discapacidad. Legislación de Cataluña,Derecho de la Discapacidad,social-sanidad,social-sanidad,450_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Cataluna,20/05/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=450_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Cataluna&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=450_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Cataluna.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=450_Codigo_del_Derecho_de_la_Discapacidad_Legislacion_de_Cataluna.epub,2026-09-11T05:30:01Z
